phase,patterns,corpus,searcher,threads_label,tag,thr,bytes,matches,min_ms,mean_ms,median_ms,max_ms,cv_pct,mbps,gbps,wrk,pattern_count,automaton_states,automaton_kib,build_ms,warmup,iters,log_file
A_speedup_curves,patterns_et_32,enron_x8,pthread_2d_sharded_chunked,12,,12,11369469888,466943872,30567.521,34479.642,35895.149,36664.988,7.95,314.47,2.6380,12,44678,508896,518942.72,512.095,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_2d_sharded_chunked__T12.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_2d_sharded_chunked,4,,4,11369469888,466943872,50438.144,51067.336,51179.280,51536.490,0.80,212.32,1.7811,4,44678,508896,518942.72,548.458,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_2d_sharded_chunked__T4.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_2d_sharded_chunked,8,,8,11369469888,466943872,37118.666,40874.187,40817.730,43885.300,6.30,265.27,2.2253,8,44678,508896,518942.72,490.276,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_2d_sharded_chunked__T8.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked,1,,1,11369469888,466943872,85769.627,86264.548,86196.448,86632.470,0.40,125.69,1.0544,1,44678,508896,518942.72,486.218,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked__T1.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked,12,,12,11369469888,466943872,37075.968,39173.690,39668.472,41214.045,4.33,276.79,2.3219,12,44678,508896,518942.72,539.412,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked__T12.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked,4,,4,11369469888,466943872,52515.052,54849.308,55216.945,55744.837,2.44,197.68,1.6583,4,44678,508896,518942.72,489.770,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked__T4.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked,8,,8,11369469888,466943872,36849.574,42632.115,42235.626,49644.872,10.99,254.33,2.1335,8,44678,508896,518942.72,495.350,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked__T8.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,1,,1,11369469888,466943872,76059.126,76093.710,76070.054,76136.821,0.05,142.49,1.1953,1,44678,508896,518942.72,495.471,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T1.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,12,,12,11369469888,466943872,27298.383,30978.601,31891.118,33394.992,8.41,350.01,2.9361,12,44678,508896,518942.72,538.288,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T12.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,4,,4,11369469888,466943872,41679.200,43565.851,44054.452,45226.351,3.27,248.88,2.0878,4,44678,508896,518942.72,499.917,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T4.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,8,,8,11369469888,466943872,26592.041,32729.411,33299.493,36996.960,12.92,331.29,2.7790,8,44678,508896,518942.72,561.203,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T8.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,1,,1,11369469888,466943872,85552.524,86000.439,86081.635,86398.497,0.47,126.08,1.0576,1,44678,508896,518942.72,536.419,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T1.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,12,,12,11369469888,466943872,32024.873,38155.965,39350.901,41386.939,10.25,284.17,2.3838,12,44678,508896,518942.72,484.562,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T12.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,4,,4,11369469888,466943872,48095.285,52822.588,54436.087,55383.539,5.65,205.27,1.7219,4,44678,508896,518942.72,494.271,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T4.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,8,,8,11369469888,466943872,38537.959,42694.979,44385.957,46223.792,8.99,253.96,2.1304,8,44678,508896,518942.72,544.402,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T8.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v3,1,,1,11369469888,466943872,85331.714,85734.073,85807.324,86059.758,0.40,126.47,1.0609,1,44678,508896,518942.72,548.243,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v3__T1.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v3,12,,12,11369469888,466943872,34216.383,38461.057,40303.430,40611.094,7.47,281.92,2.3649,12,44678,508896,518942.72,531.703,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v3__T12.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v3,4,,4,11369469888,466943872,47879.368,51554.704,53522.636,54083.330,6.23,210.32,1.7643,4,44678,508896,518942.72,514.083,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v3__T4.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v3,8,,8,11369469888,466943872,44404.978,46488.447,45693.861,49246.247,4.31,233.24,1.9565,8,44678,508896,518942.72,543.155,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v3__T8.log
